| # | App | Path:linha | Categoria | Conteúdo afetado | Gatilho | Severidade | Princípio violado | Remediação | Detalhe |
| P2-PathA-1 | redator-BO | [claude_service.py:434-445](app-redator/backend/services/claude_service.py:434) | clamp | Duração Path A | `max(5.0, min(8.0, ...))` | ALTA | editorial | (a) alinhar com Path B (4-6) ou deprecar | §2.1 |
| P2-PathA-2 | redator-BO | [claude_service.py:483](app-redator/backend/services/claude_service.py:483) | clamp | Duração redistribuição Path A | `min(12.0, duracao)` | MÉDIA | editorial | idem | §2.2 |
| P3-Prob | redator-RC | [claude_service.py:819-887](app-redator/backend/services/claude_service.py:819) (algoritmo inteiro) | algoritmo | Overlay RC | greedy wrap sem balanceamento | ALTA | editorial (qualidade) | (a) adicionar 7 regras — ver §3.5 | §3 completo |
| P4-001 | redator-RC | [rc_automation_prompt.py:64-66](app-redator/backend/prompts/rc_automation_prompt.py:64) | T1+T13 | **Post aprovado** → prompt automation | `post_clean[:500] + "..."` | ALTA | 1, 4 | (b) regenerar prompt com post integral ou reduzir post | §4.3 redator-RC |
| P4-005 | redator-RC/BO | [hook_prompt.py:42](app-redator/backend/prompts/hook_prompt.py:42) | T1 | **Research aprovada** → prompt hooks | `json.dumps(...)[:3000]` | ALTA | 1, 4 | (b) revisar tamanho efetivo vs max_tokens; se truncamento sobra, alertar | §4.3 redator-RC |
| P4-006a | redator-RC | [generation.py:203](app-redator/backend/routers/generation.py:203) | T1 | Research → prompt regenerate | `json.dumps(...)[:2000]` | ALTA | idem | idem | §4.3 redator-RC |
| P4-006b | redator-RC | [generation.py:205](app-redator/backend/routers/generation.py:205) | T1 | idem string path | `research_data[:2000]` | ALTA | idem | idem | §4.3 redator-RC |
| P4-007a | redator-ambas | [translate_service.py:740](app-redator/backend/services/translate_service.py:740) | T1 | **Identity da marca** → prompt tradução | `identity[:500]` | ALTA | 1 | (b) pedir identity mais compacta ou passar íntegra | §4.3 |
| P4-007b | redator-ambas | [translate_service.py:743](app-redator/backend/services/translate_service.py:743) | T1 | **Tom da marca** → prompt tradução | `tom[:300]` | ALTA | 1 | idem | §4.3 |
| P4-007c | redator-ambas | [translate_service.py:752](app-redator/backend/services/translate_service.py:752) | T1 | **Research** → prompt tradução | `str(research_data)[:1500]` | ALTA | 1 | idem | §4.3 |
| P4-008 | redator-RC | [rc_automation_prompt.py:57](app-redator/backend/prompts/rc_automation_prompt.py:57) | T2 | Overlay temas → prompt automation | `overlay_temas[:5]` | MÉDIA | 1 | (c) alertar se overlay > 5 entries ou incluir todas | §4.3 redator-RC |
| BO-001 | redator-BO | [overlay_prompt.py:45-77](app-redator/backend/prompts/overlay_prompt.py:45) | T1+T13 | Narrativa fonte overlay BO | `narrative[:max_chars] + "..."` | CRÍTICA | 1 | (a) preservar e pedir LLM para reformular | §4.3 redator-BO |
| C1 | curadoria | [download.py:117](app-curadoria/backend/services/download.py:117) | T1 | Nome filename download | `s[:200]` | MÉDIA | 1 | (c) erro se > 200 | §4.3 curadoria |
| T9-spam | editor | [main.py:77](app-editor/backend/app/main.py:77) | VARCHAR | `anti_spam_terms` config | `VARCHAR(500)` DB | MÉDIA (raro) | 4 | (c) alertar operador em admin UI | §4.3 editor |
